Страна;Дата;Заражений;Выздоровлений;Смертей;Заражений за день;Выздоровлений за день;Смертей за день
Россия;28/05/2021;4986458;4607276;118386;9126;9262;396
Россия;13/08/2021;6468890;;165996;21661;;795
Россия;08/02/2021;3939162;3434163;75828;15701;15834;398
Россия;14/03/2021;4341381;3949891;90558;9985;9147;389
Россия;12/11/2021;8843238;;248203;38941;;1203
Россия;29/11/2021;9436650;;268705;33170;;1178
Россия;13/10/2021;7742899;;215438;27926;;962
Россия;27/11/2021;9370694;;266337;33119;;1203
Россия;20/03/2021;4397816;4014770;93090;9548;11088;386
Россия;04/09/2021;6894113;;183117;18400;;776
Россия;14/05/2021;4866641;4485592;113182;9338;9593;387
Россия;18/02/2021;4079407;3620551;80587;13243;18388;469
Россия;09/10/2021;7631034;;211627;28648;;954
Россия;17/04/2021;4640537;4270234;103451;9201;8706;392
Россия;05/01/2021;3250713;2635242;58706;23955;22308;503
Россия;14/07/2021;5785542;5195394;142877;23331;20581;775
Россия;27/06/2021;5387486;4899158;131070;20169;12608;591
Россия;19/01/2021;3574330;2970450;65632;21442;22971;573
Россия;17/06/2021;5203117;4783662;125853;13857;11087;410
Россия;01/08/2021;6207513;5556831;156726;22264;17044;774
Россия;19/04/2021;4657509;4284398;104173;8465;6801;339
Россия;13/09/2021;7055296;;190031;17861;;712
Россия;27/12/2021;10236301;;299077;23036;;912
Россия;11/11/2021;8804297;;247000;39584;;1206
Россия;30/11/2021;9468640;;269900;31990;;1195
Россия;15/03/2021;4350728;3958300;90958;9347;8409;400
Россия;09/02/2021;3953970;3455582;76347;14808;21419;519
Россия;14/08/2021;6490421;;166795;21531;;799
Россия;27/05/2021;4977332;4598014;117990;8911;9593;395
Россия;19/02/2021;4092649;3639011;81048;13242;18460;461
Россия;13/05/2021;4857303;4475999;112795;8259;9217;385
Россия;05/09/2021;6912375;;183896;18262;;779
Россия;21/03/2021;4407031;4023460;93457;9215;8690;367
Россия;12/10/2021;7714973;;214476;27414;;954
Россия;28/11/2021;9403480;;267527;32786;;1190
Россия;26/06/2021;5367317;4886550;130479;21312;14139;610
Россия;15/07/2021;5810335;5216331;143657;24793;20937;780
Россия;06/01/2021;3274615;2657994;59137;23902;22752;431
Россия;18/04/2021;4649044;4277597;103834;8507;7363;383
Россия;08/10/2021;7602386;;210673;26561;;921
Россия;12/09/2021;7037435;;189319;18235;;773
Россия;28/12/2021;10258052;;299983;21751;;906
Россия;20/04/2021;4665553;4293866;104545;8044;9468;372
Россия;02/08/2021;6230482;5571532;157496;22969;14701;770
Россия;16/06/2021;5189260;4772575;125443;13209;9992;388
Россия;20/01/2021;3595136;2995256;66214;20806;24806;582
Россия;10/10/2021;7658923;;212576;27889;;949
Россия;01/01/2022;10340011;;303496;19606;;825
Россия;16/04/2021;4631336;4261528;103059;8872;9002;392
Россия;13/07/2021;5762211;5174813;142102;24211;19239;767
Россия;28/06/2021;5408744;4911752;131671;21258;12594;601
Россия;08/01/2021;3321163;2702949;60067;23330;21576;439
Россия;14/06/2021;5162049;4754036;124681;13550;8280;367
Россия;04/08/2021;6274006;5609682;159032;22053;19545;769
Россия;18/01/2021;3552888;2947479;65059;22509;18224;458
Россия;22/04/2021;4682573;4312186;105328;8874;8810;391
Россия;10/09/2021;7000636;;187768;18008;;769
Россия;30/12/2021;10299923;;301791;20914;;905
Россия;07/02/2021;3923461;3418329;75430;15808;19784;420
Россия;25/05/2021;4960174;4579421;117197;7762;8579;385
Россия;16/08/2021;6531585;;168384;20154;;789
Россия;17/03/2021;4368943;3979436;91815;8910;10610;420
Россия;09/11/2021;8727817;;244588;37999;;1183
Россия;02/12/2021;9533593;;272279;32757;;1188
Россия;14/10/2021;7773388;;216403;30489;;965
Россия;26/11/2021;9337575;;265134;33824;;1200
Россия;19/03/2021;4388268;4003682;92704;9612;12297;438
Россия;21/02/2021;4117992;3672084;81926;12568;15770;409
Россия;03/09/2021;6875713;;182341;18470;;781
Россия;15/05/2021;4875308;4495406;113541;8667;9814;359
Россия;07/01/2021;3297833;2681373;59628;23218;23379;491
Россия;29/06/2021;5428961;4926182;132314;20217;14430;643
Россия;12/07/2021;5738000;5155574;141335;24649;16321;700
Россия;15/04/2021;4622464;4252526;102667;8818;10115;392
Россия;11/10/2021;7687559;;213522;28636;;946
Россия;31/12/2021;10320405;;302671;20482;;880
